# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-1.013116163003446868e+00,-8.473091882403498143e-02,8.757727177944790720e-01,-3.501741113657300120e-01,-3.794521403809512639e-01,1.943627377165473735e+00,5.804290808812247349e+00,-8.471093997757846994e-01
-1.008409169214398382e+00,-1.285872582601982062e-01,8.888041957168366647e-01,-3.084196832773837826e-01,-3.851339198068297609e-01,1.706948125445573616e+00,5.892626465026014060e+00,-7.445569660801202305e-01
-1.001771554672676201e+00,-1.721974151298250044e-01,9.001340393271282103e-01,-2.660747787364128314e-01,-3.900783522495207545e-01,1.466934137265651916e+00,5.969703527877957328e+00,-6.405501390621795021e-01
-9.932153977144467794e-01,-2.154777943302754739e-01,9.097399939452361917e-01,-2.232202956097778246e-01,-3.942757273164456677e-01,1.224020174037927289e+00,6.035374302097004318e+00,-5.352773106076672560e-01
-9.827562767688952095e-01,-2.583453471634998833e-01,9.176029285263028745e-01,-1.799381114944945959e-01,-3.977176882179598860e-01,9.786463514657266494e-01,6.089509499275916227e+00,-4.289292080425646247e-01
-9.704132765471947808e-01,-3.007176203061367459e-01,9.237068597351008048e-01,-1.363110419183279909e-01,-4.003972422371397388e-01,7.312581209927366821e-01,6.131998382439904027e+00,-3.216988861993050897e-01
-9.562089165405683877e-01,-3.425130759139303760e-01,9.280390161522502623e-01,-9.242251992071293110e-02,-4.023087888107571564e-01,4.823046725441952898e-01,6.162749209224726243e+00,-2.137810352134065228e-01
-9.401691711379659422e-01,-3.836510496087986999e-01,9.305898387785741521e-01,-4.835664263085442949e-02,-4.034481197127112173e-01,2.322394175740014610e-01,6.181689255449095199e+00,-1.053721899806533413e-01
-9.223233722662181888e-01,-4.240520640453339651e-01,9.313530211980063367e-01,-4.197845878800732233e-03,-4.038124367140776272e-01,-1.848163971219918267e-02,6.188765138474519034e+00,3.329975802548124086e-03
-9.027042351679378518e-01,-4.636377899833893368e-01,9.303255159842968025e-01,3.996904963882852435e-02,-4.034003543259896407e-01,-2.693994265499606300e-01,6.183942919149926887e+00,1.121264432618205298e-01
-8.813478298044016279e-01,-5.023311894323587712e-01,9.275075662228914330e-01,8.405898022043578610e-02,-4.022119135742325824e-01,-5.200523962374061782e-01,6.167208398453659868e+00,2.208171059359945732e-01
-8.582934448999496313e-01,-5.400568172835297220e-01,9.229027089458176070e-01,1.279869699935078375e-01,-4.002485837388948253e-01,-7.699782041753007178e-01,6.138567255139786738e+00,3.292014963696281438e-01
-8.335836743708285868e-01,-5.767407134536057800e-01,9.165178053693492366e-01,1.716679966781898270e-01,-3.975132753632193428e-01,-1.018712747500939431e+00,6.098045359109757868e+00,4.370783694807682807e-01
